Date,Name,Character(s),Species,Expression(s),Medium
2/14/21,The Beach Bears: 10th Anniversary (Back-Cover Album),"Bobby, Dipper, ???","Bear, Porcupine, ???",Calm,Digital
2/14/21,The Beach Bears: 10th Anniversary (Cover Album),"Bobby, Dipper, ???","Bear, Porcupine, ???","Engaged, Happy",Digital
2/12/21,Doggett and Cesco,"Doggett, Cesco","Golden Retriever, Cat","Engaged, Warm",Digital
2/11/21,Street Stickers Collector,Plur,Wolf/Husky,"Engaged, TO",Digital
2/10/21,Ephemeral Eternity,???,???,"Engaged, Calm",Traditional
2/8/21,Superb owl,Not specified,Owl,Engaged,Digital
2/8/21,Croc Portrait,Croc O'Dile,Crocodile,"Neutral, Happy",Traditional
2/7/21,Boy Scout Buddies,"Zack, unknown, unknown","Beaver, Kenga, Raccoon",Neutral,Digital
2/5/21,Canyoning,Yaps,Fox,"Engaged, Happy, Focused",Traditional
2/5/21,Geek Fox,Geek Fox,Fox,"Neutral, Shy",Digital
2/4/21,Scoty in the snow,Scoty,Fox,Happy,Digital
2/3/21,Swimming with Clothes On,"Maks Rosebuster, Rob","Fox, Bunny","Engaged, Playful",Digital
2/2/21,Pizza Boy,Captain Nik,Wolf,Engaged,Digital
1/31/21,Samy,Samy,Goat,Neutral,Digital
1/30/21,The Pier,"Adam Prower, Jawbreaker","Fox, Poodle",Engaged,Digital
1/29/21,Swimming with Stingrays,"Mith, Puck, Rabid, Buckley, unknown Stingrays(4)","Otter, Sabertooth, Bunny, Deer","Engaged, Ecstatic, Nervous, Concerned",Digital
1/27/21,Robin and Nick,"Robin Hood, Nick Wilde",Foxes,"Engaged, Happy",Digital
1/24/21,Kai Telegram Stickers,"Kai (8), Paco",Red Panda,"Warm, Plotting, Blushing, Engaged",Digital
1/20/21,Millones de Kilometros,"Sans, Rush","Velociraptor, Reindeer","Engaged, Curious",Digital
1/18/21,Roni and Veemon,"Roni, Veemon","Collie, Digimon",Happy,Traditional
1/18/21,Turt and Apollo,"RadiantBlaze, Turt","Wuskylynx™, Fox",Warm,Digital
1/15/21,Doctor Nodd,Nodd,Mouse,Curious,Traditional
1/14/21,Puck the Sabertooth,Puck,Sabertooth,"Laughter, Neutral",Digital
1/8/21,A Hidden Shrine,"Shibby, Emerald","Fox, Fox",Ecstatic,Traditional
1/7/21,Alf Doggo,Alf,Dog,Neutral,Digital
1/5/21,Calm always come,"Zak, Cirrus","Fox, Fox","Engaged, Calm",Digital
